Feature,Importance
TFIDF_anak,0.005655449119771329
TFIDF_terpapar,0.005426521476820595
TFIDF_eritema,0.005370703491877371
TFIDF_rahang,0.005364882531958175
TFIDF_erosi,0.005342395193684876
TFIDF_otot,0.005155250544985413
TFIDF_berlubang,0.005102241686532579
TFIDF_edema,0.0049513526184923815
TFIDF_ingin,0.004812500084135366
TFIDF_retak,0.0048111694892920874
TFIDF_persistensi,0.004801566891659289
TFIDF_tipis,0.004702108264777882
TFIDF_permukaan,0.0045234053519687956
TFIDF_bengkak,0.0043918820399162836
TFIDF_belum,0.004369906815993976
TFIDF_48,0.004249650003280196
TFIDF_bawah,0.004240294342039211
TFIDF_lingual,0.004185224511934605
TFIDF_atau,0.004106278895196355
TFIDF_afta,0.004104790845656206
TFIDF_berdarah,0.003964101303602341
TFIDF_11,0.003916251247115999
TFIDF_makan,0.0037389484064490356
TFIDF_telinga,0.003602572966153444
TFIDF_lubang,0.0035888171151582447
TFIDF_krepitasi,0.0035792921774160796
TFIDF_tidak,0.0035582835607533793
TFIDF_tumbuh,0.0035544463483924253
TFIDF_vertikal,0.0035258354107657887
TFIDF_mulut,0.0035107656655526116
TFIDF_ngilu,0.0034690406324662886
TFIDF_tajam,0.0034631636524415092
TFIDF_tension,0.003423297755253575
TFIDF_bagian,0.003352856647680261
jenis_kelamin_L,0.003337371157344589
TFIDF_sangat,0.0033020752933065763
TFIDF_36,0.0032900807476090037
TFIDF_karena,0.003247194125210283
TFIDF_oklusal,0.0031563606157388496
TFIDF_membuka,0.0031522836158997826
TFIDF_masseter,0.0031388690937055024
TFIDF_penuh,0.003113002415867257
TFIDF_gerakan,0.002984468896876999
TFIDF_mengunyah,0.0029584647538312917
TFIDF_ketika,0.0029091288594851445
TFIDF_dingin,0.002869178893935325
TFIDF_aktif,0.0028664030545981576
TFIDF_perih,0.0027555405748490814
TFIDF_tidur,0.002708548893739165
TFIDF_temporal,0.0026499770637283897
TFIDF_kelas,0.0026311745861212666
TFIDF_yang,0.00261122080263265
TFIDF_radiolusensi,0.002608935145349296
TFIDF_menjalar,0.002605036194205034
TFIDF_kalau,0.0025783424637376845
TFIDF_hipersensitif,0.0025514659499977143
TFIDF_otik,0.0024745575540592803
TFIDF_kapsula,0.002466087862063929
TFIDF_makanan,0.0024301198528908045
TFIDF_respons,0.0024147563023419164
TFIDF_perdarahan,0.0024134623202500625
TFIDF_pasang,0.0024105186924689077
TFIDF_email,0.0023459060133258743
TFIDF_keras,0.0023034053287453297
TFIDF_kecoklatan,0.0022825171881892046
TFIDF_ada,0.0022733475172137967
TFIDF_sering,0.0022661606409144545
TFIDF_sudah,0.0021400456776023537
jenis_kelamin_P,0.0021308674385103325
TFIDF_terhadap,0.002108923027915049
TFIDF_palsu,0.002035306146800869
TFIDF_suhu,0.00196614541718272
TFIDF_melimpah,0.001952630224357846
TFIDF_pipi,0.0019397066613920822
TFIDF_palatal,0.0019280253689174275
TFIDF_terbuka,0.0018861463206177875
TFIDF_palpasi,0.0018824703951051435
TFIDF_abu,0.0018706039574379095
TFIDF_krusta,0.0018607545288944678
TFIDF_korona,0.0018386563471384986
TFIDF_diskolorisasi,0.0017906827016041778
TFIDF_fisura,0.0017864745299820033
TFIDF_atrofi,0.001759237515784566
TFIDF_belakang,0.0017514210225456498
TFIDF_pelipis,0.0017494361372750696
TFIDF_panas,0.0017317376951283873
TFIDF_ruam,0.0017026321484713543
TFIDF_ii,0.00166799381911087
TFIDF_dua,0.0016320216675752674
TFIDF_rata,0.0016268439873059946
TFIDF_tekan,0.0016086615011662848
TFIDF_trigger,0.0016010865699340531
TFIDF_beberapa,0.0015542959902914342
TFIDF_parsial,0.0015394411008079506
TFIDF_angular,0.0015185670863513564
TFIDF_pecah,0.0014762149716789912
TFIDF_kekuningan,0.0014675589101057279
TFIDF_berbentuk,0.001463847280754216
TFIDF_susah,0.0014343404590284128
TFIDF_minum,0.0014146478897724966
TFIDF_lepas,0.0013895756054801813
TFIDF_sampai,0.0013892543234472901
TFIDF_pus,0.0013810416740801593
TFIDF_sebab,0.001378599821812291
TFIDF_halo,0.0013551038760377173
TFIDF_generalisata,0.001341474385741889
TFIDF_sulit,0.0013361803574564223
TFIDF_karies,0.0013022134808133772
TFIDF_benar,0.0012989062406653135
